songID,sourcePath,action,fsIn,nChannelsIn,rmsDbfsIn,gainDb,peakAfter,clipGuard,durationSec,elapsedSec,message
108,"opm/083 - Parokya ni Edgar - Gitara (Lyrics).wav",processed,48000,2,-13.8089351989508,-6.19106480104922,0.481795962733507,0,243.809625,0.2597312,48000 Hz/2ch -> 8 kHz mono
109,"opm/084 - Hev Abi - Alam Mo Ba Girl (Lyrics).wav",processed,48000,2,-12.1338787269159,-7.86612127308409,0.429152904628187,0,222.017625,0.2368268,48000 Hz/2ch -> 8 kHz mono
110,"opm/085 - YB Neet - ILY ft. Bugoy Na Koykoy (Lyric Video).wav",processed,48000,2,-13.3306261344484,-6.66937386555159,0.470678184018093,0,179.049125,0.2082655,48000 Hz/2ch -> 8 kHz mono
111,"opm/086 - Al James - Pa-Umaga (Lyrics).wav",processed,48000,2,-10.4581624622076,-9.54183753779244,0.334730948739575,0,189.09175,0.2201662,48000 Hz/2ch -> 8 kHz mono
112,"opm/087 - BINI - ‘First Luv’ Official Music Video.wav",processed,48000,2,-10.6678956313876,-9.33210436861244,0.378833528435385,0,211.719625,0.2671161,48000 Hz/2ch -> 8 kHz mono
113,"opm/091 - Up Dharma Down - Oo (Lyrics).wav",processed,48000,2,-16.9449628783009,-3.05503712169912,0.529385449039937,0,247.373875,0.3017344,48000 Hz/2ch -> 8 kHz mono
114,"opm/092 - rhodessa - Kisame (Lyrics).wav",processed,48000,2,-12.65044404076,-7.34955595924004,0.460528410857374,0,244.053375,0.3221512,48000 Hz/2ch -> 8 kHz mono
115,"opm/093 - Hale - Kung Wala Ka (Lyrics).wav",processed,48000,2,-7.59357201533282,-12.4064279846672,0.279166683876092,0,239.676375,0.2757734,48000 Hz/2ch -> 8 kHz mono
116,"opm/095 - Ben&Ben - Lifetime (Reimagined).wav",processed,48000,2,-13.0203866296123,-6.97961337038774,0.460191517323168,0,277.861625,0.3187185,48000 Hz/2ch -> 8 kHz mono
117,"opm/096 - SB19 - DAM_ Music Video.wav",processed,48000,2,-10.2514626255789,-9.74853737442115,0.417886651740545,0,301.511125,0.3676702,48000 Hz/2ch -> 8 kHz mono
118,"opm/097 - Maki - Kahel na Langit (Official Music Video).wav",processed,48000,2,-11.866024031359,-8.13397596864097,0.405124097833251,0,237.633125,0.2860315,48000 Hz/2ch -> 8 kHz mono
119,"opm/098 - BINI - Sweet Tooth’ Official Music Video.wav",processed,48000,2,-17.5870916483156,-2.41290835168436,0.446957113712517,0,187.234125,0.2038698,48000 Hz/2ch -> 8 kHz mono
120,"opm/100 - Skusta Clee - Kalimutan Ka (Lyrics).wav",processed,48000,2,-11.5382871239644,-8.46171287603559,0.423551994594022,0,321.074,0.3571922,48000 Hz/2ch -> 8 kHz mono
