tau,rho,precision,recall,far,f1,tp,nAccepted,nFalseAccept
0.00825593395252838,1.75,0.981907894736842,0.995,0.0366666666666667,0.98841059602649,1791,1824,33
0.00825593395252838,2,0.989479512735327,0.992777777777778,0.0211111111111111,0.991125901275652,1787,1806,19
0.00825593395252838,2.5,0.997192588433464,0.986666666666667,0.00555555555555556,0.991901703434795,1776,1781,5
0.00825593395252838,3,0.998305084745763,0.981666666666667,0.00333333333333333,0.989915966386555,1767,1770,3
0.00825593395252838,4,1,0.97,0,0.984771573604061,1746,1746,0
0.00825593395252838,5,1,0.946666666666667,0,0.972602739726027,1704,1704,0
0.00825593395252838,7,1,0.895,0,0.944591029023747,1611,1611,0
0.00825593395252838,10,1,0.812222222222222,0,0.896382587369712,1462,1462,0
0.00844461792440641,1,0.767222935387249,0.996111111111111,0.598888888888889,0.866811699299009,1793,2337,539
0.00844461792440641,1.1,0.839737582005623,0.995555555555556,0.376666666666667,0.911032028469751,1792,2134,339
0.00844461792440641,1.25,0.861952861952862,0.995555555555556,0.315555555555556,0.923949471513277,1792,2079,284
0.00844461792440641,1.5,0.949152542372881,0.995555555555556,0.106666666666667,0.971800433839479,1792,1888,96
0.00844461792440641,1.75,0.981897970378497,0.994444444444444,0.0366666666666667,0.988131382831907,1790,1823,33
0.00844461792440641,2,0.989473684210526,0.992222222222222,0.0211111111111111,0.990846047156727,1786,1805,19
0.00844461792440641,2.5,0.997192588433464,0.986666666666667,0.00555555555555556,0.991901703434795,1776,1781,5
0.00844461792440641,3,0.998305084745763,0.981666666666667,0.00333333333333333,0.989915966386555,1767,1770,3
0.00844461792440641,4,1,0.97,0,0.984771573604061,1746,1746,0
0.00844461792440641,5,1,0.946666666666667,0,0.972602739726027,1704,1704,0
0.00844461792440641,7,1,0.895,0,0.944591029023747,1611,1611,0
0.00844461792440641,10,1,0.812222222222222,0,0.896382587369712,1462,1462,0
0.00881057268722467,1,0.774179620034542,0.996111111111111,0.576666666666667,0.871234207968902,1793,2316,519
0.00881057268722467,1.1,0.844486333647502,0.995555555555556,0.364444444444444,0.913819479857216,1792,2122,328
0.00881057268722467,1.25,0.866956942428641,0.995555555555556,0.303333333333333,0.926816653736747,1792,2067,273
0.00881057268722467,1.5,0.950159066808059,0.995555555555556,0.104444444444444,0.972327726532827,1792,1886,94
0.00881057268722467,1.75,0.982976386600769,0.994444444444444,0.0344444444444444,0.988677161005247,1790,1821,31
0.00881057268722467,2,0.990022172949002,0.992222222222222,0.02,0.991120976692564,1786,1804,18
0.00881057268722467,2.5,0.997192588433464,0.986666666666667,0.00555555555555556,0.991901703434795,1776,1781,5
0.00881057268722467,3,0.998305084745763,0.981666666666667,0.00333333333333333,0.989915966386555,1767,1770,3
0.00881057268722467,4,1,0.97,0,0.984771573604061,1746,1746,0
0.00881057268722467,5,1,0.946666666666667,0,0.972602739726027,1704,1704,0
0.00881057268722467,7,1,0.895,0,0.944591029023747,1611,1611,0
0.00881057268722467,10,1,0.812222222222222,0,0.896382587369712,1462,1462,0
0.00920525007616849,1,0.782286212914485,0.996111111111111,0.55,0.876344086021505,1793,2292,495
0.00920525007616849,1.1,0.851306413301663,0.995555555555556,0.345555555555556,0.917797695262484,1792,2105,311
0.00920525007616849,1.25,0.873720136518771,0.995555555555556,0.285555555555556,0.930667359127499,1792,2051,257
0.00920525007616849,1.5,0.953191489361702,0.995555555555556,0.0977777777777778,0.973913043478261,1792,1880,88
0.00920525007616849,1.75,0.983516483516483,0.994444444444444,0.0333333333333333,0.988950276243094,1790,1820,30
0.00920525007616849,2,0.990022172949002,0.992222222222222,0.02,0.991120976692564,1786,1804,18
0.00920525007616849,2.5,0.997192588433464,0.986666666666667,0.00555555555555556,0.991901703434795,1776,1781,5
0.00920525007616849,3,0.998305084745763,0.981666666666667,0.00333333333333333,0.989915966386555,1767,1770,3
0.00920525007616849,4,1,0.97,0,0.984771573604061,1746,1746,0
0.00920525007616849,5,1,0.946666666666667,0,0.972602739726027,1704,1704,0
0.00920525007616849,7,1,0.895,0,0.944591029023747,1611,1611,0
0.00920525007616849,10,1,0.812222222222222,0,0.896382587369712,1462,1462,0
0.00943396226415094,1,0.788825340959085,0.996111111111111,0.528888888888889,0.880432113920943,1793,2273,476
0.00943396226415094,1.1,0.854554124940391,0.995555555555556,0.336666666666667,0.919681806517834,1792,2097,303
0.00943396226415094,1.25,0.877141458639256,0.995555555555556,0.276666666666667,0.932604735883424,1792,2043,249
0.00943396226415094,1.5,0.953698775944651,0.995555555555556,0.0966666666666667,0.9741777656972,1792,1879,87
0.00943396226415094,1.75,0.984057174271578,0.994444444444444,0.0322222222222222,0.989223542415032,1790,1819,29
0.00943396226415094,2,0.990022172949002,0.992222222222222,0.02,0.991120976692564,1786,1804,18
0.00943396226415094,2.5,0.997192588433464,0.986666666666667,0.00555555555555556,0.991901703434795,1776,1781,5
0.00943396226415094,3,0.998305084745763,0.981666666666667,0.00333333333333333,0.989915966386555,1767,1770,3
0.00943396226415094,4,1,0.97,0,0.984771573604061,1746,1746,0
0.00943396226415094,5,1,0.946666666666667,0,0.972602739726027,1704,1704,0
0.00943396226415094,7,1,0.895,0,0.944591029023747,1611,1611,0
0.00943396226415094,10,1,0.812222222222222,0,0.896382587369712,1462,1462,0
