tau,rho,precision,recall,far,f1,tp,nAccepted,nFalseAccept
0.00589429121539263,4,0.95264017419706,0.972222222222222,0.0966666666666667,0.962331591971405,1750,1837,87
0.00589429121539263,5,0.953811908736784,0.952222222222222,0.0922222222222222,0.953016402557687,1714,1797,83
0.00589429121539263,7,0.953392330383481,0.897777777777778,0.0877777777777778,0.924749642346209,1616,1695,79
0.00589429121539263,10,0.9521625163827,0.807222222222222,0.0811111111111111,0.873722188815394,1453,1526,73
0.006131800387178,1,0.7117903930131,0.996111111111111,0.798888888888889,0.830284788145404,1793,2519,719
0.006131800387178,1.1,0.788478452066843,0.996111111111111,0.531111111111111,0.880216003927344,1793,2274,478
0.006131800387178,1.25,0.830398517145505,0.995555555555556,0.404444444444444,0.905507832238504,1792,2158,364
0.006131800387178,1.5,0.908583037074657,0.993888888888889,0.198888888888889,0.949323427964977,1789,1969,179
0.006131800387178,1.75,0.940031562335613,0.992777777777778,0.126666666666667,0.96568495001351,1787,1901,114
0.006131800387178,2,0.94291754756871,0.991111111111111,0.12,0.966413867822319,1784,1892,108
0.006131800387178,2.5,0.951154052603328,0.984444444444444,0.101111111111111,0.967512967512967,1772,1863,91
0.006131800387178,3,0.951430113329736,0.979444444444444,0.1,0.965234054202026,1763,1853,90
0.006131800387178,4,0.95264017419706,0.972222222222222,0.0966666666666667,0.962331591971405,1750,1837,87
0.006131800387178,5,0.953811908736784,0.952222222222222,0.0922222222222222,0.953016402557687,1714,1797,83
0.006131800387178,7,0.953392330383481,0.897777777777778,0.0877777777777778,0.924749642346209,1616,1695,79
0.006131800387178,10,0.9521625163827,0.807222222222222,0.0811111111111111,0.873722188815394,1453,1526,73
0.0063357705862338,1,0.718349358974359,0.996111111111111,0.773333333333333,0.834729981378026,1793,2496,696
0.0063357705862338,1.1,0.791611479028698,0.996111111111111,0.521111111111111,0.882164821648216,1793,2265,469
0.0063357705862338,1.25,0.831554524361949,0.995555555555556,0.401111111111111,0.906194690265487,1792,2155,361
0.0063357705862338,1.5,0.909044715447154,0.993888888888889,0.197777777777778,0.949575371549894,1789,1968,178
0.0063357705862338,1.75,0.940031562335613,0.992777777777778,0.126666666666667,0.96568495001351,1787,1901,114
0.0063357705862338,2,0.94291754756871,0.991111111111111,0.12,0.966413867822319,1784,1892,108
0.0063357705862338,2.5,0.951154052603328,0.984444444444444,0.101111111111111,0.967512967512967,1772,1863,91
0.0063357705862338,3,0.951430113329736,0.979444444444444,0.1,0.965234054202026,1763,1853,90
0.0063357705862338,4,0.95264017419706,0.972222222222222,0.0966666666666667,0.962331591971405,1750,1837,87
0.0063357705862338,5,0.953811908736784,0.952222222222222,0.0922222222222222,0.953016402557687,1714,1797,83
0.0063357705862338,7,0.953392330383481,0.897777777777778,0.0877777777777778,0.924749642346209,1616,1695,79
0.0063357705862338,10,0.9521625163827,0.807222222222222,0.0811111111111111,0.873722188815394,1453,1526,73
0.0065439110612361,1,0.725030327537404,0.996111111111111,0.747777777777778,0.839223028317341,1793,2473,673
0.0065439110612361,1.1,0.795827785175322,0.996111111111111,0.507777777777778,0.884776708610906,1793,2253,457
0.0065439110612361,1.25,0.833488372093023,0.995555555555556,0.395555555555556,0.907341772151899,1792,2150,356
0.0065439110612361,1.5,0.909969481180061,0.993888888888889,0.195555555555556,0.950079660116835,1789,1966,176
0.0065439110612361,1.75,0.940526315789474,0.992777777777778,0.125555555555556,0.965945945945946,1787,1900,113
0.0065439110612361,2,0.94291754756871,0.991111111111111,0.12,0.966413867822319,1784,1892,108
0.0065439110612361,2.5,0.951154052603328,0.984444444444444,0.101111111111111,0.967512967512967,1772,1863,91
0.0065439110612361,3,0.951430113329736,0.979444444444444,0.1,0.965234054202026,1763,1853,90
0.0065439110612361,4,0.95264017419706,0.972222222222222,0.0966666666666667,0.962331591971405,1750,1837,87
